Buy,Food  Alcohol,BeerBottle,BeerBottle,100,10
Buy,Food  Alcohol,BeerCan,BeerCan,100,10
Buy,Food  Alcohol,Bourbon,WhiskeyFull,250,10
Buy,Food  Alcohol,RedWine,Wine2,100,10
Buy,Food  Alcohol,WhiteWine,Wine,100,10
Buy,Food  Animal,Bacon,Bacon,250,10
Buy,Food  Animal,BaconBits,BaconBits,100,10
Buy,Food  Animal,BaconRashers,BaconRashers,100,10
Buy,Food  Animal,Chicken,Chicken,250,10
Buy,Food  Animal,Egg,Egg,100,10
Buy,Food  Animal,EggCarton,EggCarton,250,10
Buy,Food  Animal,FrogMeat,FrogMeat,50,10
Buy,Food  Animal,MeatPatty,MeatPatty,100,10
Buy,Food  Animal,MuttonChop,MuttonChop,250,10
Buy,Food  Animal,PorkChop,PorkChop,250,10
Buy,Food  Animal,Steak,Steak,250,10
Buy,Food  Canned,CannedBeans,TinnedBeans,50,10
Buy,Food  Canned,CannedCarrots,CannedCarrots,50,10
Buy,Food  Canned,CannedChili,CannedChili,50,10
Buy,Food  Canned,CannedCorn,CannedCorn,50,10
Buy,Food  Canned,CannedCornedBeef,CannedCornedBeef,50,10
Buy,Food  Canned,CannedMushroomSoup,CannedMushroomSoup,50,10
Buy,Food  Canned,CannedPeas,CannedPeas,50,10
Buy,Food  Canned,CannedPotato,CannedPotato2,50,10
Buy,Food  Canned,CannedSardines,CannedSardines,50,10
Buy,Food  Canned,CannedSoup,TinnedSoup,50,10
Buy,Food  Canned,CannedSpaghettiBolognese,CannedBolognese,50,10
Buy,Food  Canned,CannedTomato,CannedTomato2,50,10
Buy,Food  Canned,CannedTuna,TunaTin,50,10
Buy,Food  Canned,DogFood,Dogfood,50,10
Buy,Food  Canned,JarofBellPeppers,CannedBellPepper,50,10
Buy,Food  Canned,JarofBroccoli,CannedBroccoli,50,10
Buy,Food  Canned,JarofCabBage,CannedCabBage,50,10
Buy,Food  Canned,JarofCarrots,JarredCarrots,50,10
Buy,Food  Canned,JarofEggplants,CannedEggplant,50,10
Buy,Food  Canned,JarofLeeks,CannedLeek,50,10
Buy,Food  Canned,JarofPotatoes,CannedPotato,50,10
Buy,Food  Canned,JarofRadishes,CannedRedRadish,50,10
Buy,Food  Canned,JarofTomatoes,CannedTomato,50,10
Buy,Food  Drink,ColdCuppa,ColdCuppa,50,10
Buy,Food  Drink,HotCuppa,Mugfulll,50,10
Buy,Food  Drink,JuiceBox,JuiceBox,50,10
Buy,Food  Drink,Milk,Milk,50,10
Buy,Food  Drink,OrangeSoda,PopBottle,50,10
Buy,Food  Drink,Pop,Pop2,50,10
Buy,Food  Drink,Pop,Pop,50,10
Buy,Food  Drink,Pop,Pop3,50,10
Buy,Food  Ingredients,Avocado,Avocado,50,10
Buy,Food  Ingredients,BellPepper,BellPepper,50,10
Buy,Food  Ingredients,Broccoli,Broccoli,50,10
Buy,Food  Ingredients,Butter,Butter,50,10
Buy,Food  Ingredients,CabBage,CabBage,50,10
Buy,Food  Ingredients,Carrots,Carrots,50,10
Buy,Food  Ingredients,Cheese,Cheese,50,10
Buy,Food  Ingredients,Corn,Corn,50,10
Buy,Food  Ingredients,Eggplant,Eggplant,50,10
Buy,Food  Ingredients,Flour,Flour,50,10
Buy,Food  Ingredients,Leek,Leek,50,10
Buy,Food  Ingredients,Lettuce,Lettuce,50,10
